,Job Tier,Job Type,Skill
0,Intermediate,Fixed-Price,Python
1,Expert,Hourly,Argus
2,Expert,Hourly,Financial Analysis
3,Expert,Hourly,Financial Modeling
4,Expert,Hourly,Real Estate Appraisal
5,Expert,Hourly,Real Estate IDX
6,Expert,Hourly,Real Estate Law
7,Expert,Hourly,Real Estate Management
8,Expert,Hourly,Statistics
9,Expert,Hourly,Financial Analysis
10,Expert,Hourly,Financial Modeling
11,Expert,Hourly,Financial Reporting
12,Expert,Hourly,Mathematics
13,Expert,Hourly,Microsoft Excel
14,Expert,Hourly,Project Management
15,Expert,Hourly,Quantitative Analysis
16,Entry,Hourly,JavaScript
17,Expert,Fixed-Price,Business Intelligence
18,Expert,Fixed-Price,Data Modeling
19,Expert,Fixed-Price,Data Visualization
20,Expert,Fixed-Price,Microsoft Excel PowerPivot
21,Expert,Fixed-Price,Tableau Software
22,Entry,Hourly,Data Mining
23,Expert,Fixed-Price,Gambling
24,Expert,Fixed-Price,Mathematics
25,Intermediate,Fixed-Price,Mathematics
26,Intermediate,Fixed-Price,Microsoft Excel
27,Expert,Fixed-Price,Machine Learning
28,Expert,Fixed-Price,Natural Language Processing
29,Expert,Fixed-Price,Sphinx
30,Entry,Hourly,Data Entry
31,Entry,Hourly,Data Scraping
32,Entry,Hourly,Microsoft Excel
33,Intermediate,Fixed-Price,Data Entry
34,Intermediate,Fixed-Price,JavaScript
35,Intermediate,Fixed-Price,MySQL Programming
36,Intermediate,Fixed-Price,PDF Conversion
37,Intermediate,Fixed-Price,PHP
38,Intermediate,Fixed-Price,Python
39,Intermediate,Fixed-Price,Website Development
40,Expert,Fixed-Price,CRM
41,Expert,Fixed-Price,Data Science
42,Expert,Fixed-Price,Game Design
43,Expert,Fixed-Price,Quantitative Analysis
44,Entry,Hourly,Data Mining
45,Entry,Hourly,Microsoft Excel
46,Entry,Hourly,Data Entry
47,Entry,Hourly,Lead Generation
48,Entry,Hourly,Spreadsheets
49,Entry,Hourly,Web Scraping
50,Intermediate,Fixed-Price,Data Analytics
51,Intermediate,Fixed-Price,Equity Research
52,Intermediate,Fixed-Price,Financial Analysis
53,Intermediate,Fixed-Price,Foreign Exchange Trading
54,Intermediate,Fixed-Price,Machine Learning
55,Intermediate,Fixed-Price,Quantitative Analysis
56,Intermediate,Fixed-Price,Statistics
57,Intermediate,Fixed-Price,Data Analytics
58,Intermediate,Fixed-Price,Data Science
59,Intermediate,Fixed-Price,Machine Learning
60,Intermediate,Fixed-Price,Natural Language Processing
61,Intermediate,Fixed-Price,Python
62,Intermediate,Fixed-Price,R
63,Entry,Hourly,Database Design
64,Entry,Hourly,Microsoft Access Administration
65,Entry,Hourly,Microsoft Access Programming
66,Entry,Hourly,Microsoft Access Administration
67,Entry,Hourly,Microsoft Access Programming
68,Entry,Hourly,Microsoft Excel
69,Entry,Fixed-Price,Administrative Support
70,Entry,Fixed-Price,Data Entry
71,Entry,Fixed-Price,Database Administration
72,Entry,Fixed-Price,Database Design
73,Entry,Fixed-Price,Internet Research
74,Entry,Fixed-Price,Microsoft Excel
75,Intermediate,Fixed-Price,Computer Skills
76,Intermediate,Fixed-Price,Data Mining
77,Intermediate,Fixed-Price,Microsoft Excel
78,Intermediate,Fixed-Price,Telephone Handling
79,Intermediate,Fixed-Price,Virtual Assistant
80,Entry,Fixed-Price,Web Scraping
81,Expert,Fixed-Price,JavaScript
82,Expert,Fixed-Price,PHP
83,Expert,Fixed-Price,Python
84,Expert,Fixed-Price,Software Licensing
85,Expert,Fixed-Price,Software Testing
86,Intermediate,Fixed-Price,Data Entry
87,Intermediate,Fixed-Price,Excel VBA
88,Expert,Hourly,Microsoft Excel
89,Expert,Hourly,Business Development
90,Expert,Hourly,Data Scraping
91,Expert,Hourly,Growth Hacking
92,Expert,Hourly,Internet Research
93,Expert,Hourly,Real Estate IDX
94,Expert,Hourly,Real Estate Management
95,Expert,Hourly,Sales
96,Entry,Fixed-Price,Data Mining
97,Entry,Fixed-Price,Data Scraping
98,Entry,Fixed-Price,Internet Research
99,Entry,Hourly,Qualtrics
100,Entry,Hourly,Adobe PDF
101,Entry,Hourly,Microsoft Excel
102,Intermediate,Hourly,Adobe Photoshop
103,Intermediate,Hourly,Data Entry
104,Intermediate,Hourly,Data Extraction
105,Intermediate,Hourly,Data Mining
106,Intermediate,Hourly,Data Scraping
107,Intermediate,Hourly,English
108,Intermediate,Hourly,HTML
109,Intermediate,Hourly,Internet Research
110,Intermediate,Hourly,Microsoft Excel
111,Intermediate,Hourly,Photo Editing
112,Intermediate,Hourly,Photo Manipulation
113,Intermediate,Hourly,Photo Retouching
114,Intermediate,Hourly,Shopify
115,Intermediate,Hourly,Web Scraping
116,Intermediate,Fixed-Price,Project Management
117,Entry,Hourly,SPARQL
118,Intermediate,Fixed-Price,Academic Writing
119,Intermediate,Fixed-Price,Data Analytics
120,Intermediate,Fixed-Price,Data Modeling
121,Intermediate,Fixed-Price,Econometrics
122,Intermediate,Fixed-Price,IBM SPSS
123,Intermediate,Fixed-Price,Quantitative Analysis
124,Intermediate,Fixed-Price,Research Papers
125,Intermediate,Fixed-Price,Statistics
126,Expert,Fixed-Price,Data Science
127,Expert,Fixed-Price,Python
128,Expert,Fixed-Price,Statistics
129,Expert,Fixed-Price,Deep Learning
130,Expert,Fixed-Price,Python
131,Expert,Fixed-Price,TensorFlow
132,Expert,Hourly,Amazon MWS
133,Expert,Hourly,Amazon Web Services
134,Expert,Hourly,Amazon Webstore
135,Expert,Hourly,API Development
136,Expert,Hourly,Data Mining
137,Intermediate,Hourly,Data Science
138,Intermediate,Hourly,Machine Learning
139,Intermediate,Hourly,Pandas
140,Intermediate,Hourly,Python
141,Intermediate,Hourly,Python Numpy
142,Intermediate,Hourly,Python SciPy
143,Intermediate,Hourly,Statistics
144,Expert,Hourly,Computer Vision
145,Expert,Hourly,Deep Neural Networks
146,Expert,Hourly,Image Processing
147,Expert,Hourly,OpenCV
148,Expert,Fixed-Price,Machine Learning
149,Expert,Fixed-Price,TensorFlow
150,Expert,Fixed-Price,Amazon Relational Database Service
151,Expert,Fixed-Price,Internet Research
152,Expert,Fixed-Price,"""Extract, Transform and Load (ETL)"""
153,Intermediate,Fixed-Price,Web Scraping
154,Entry,Fixed-Price,Web Crawling
155,Entry,Fixed-Price,Data Entry
156,Entry,Fixed-Price,Data Mining
157,Entry,Fixed-Price,Data Scraping
158,Intermediate,Fixed-Price,Bioinformatics
159,Intermediate,Fixed-Price,C
160,Intermediate,Fixed-Price,C++
161,Intermediate,Fixed-Price,Machine Learning
162,Intermediate,Fixed-Price,Python
163,Intermediate,Hourly,Algorithms
164,Intermediate,Hourly,Data Science
165,Intermediate,Hourly,Ruby
166,Intermediate,Hourly,Statistics
167,Intermediate,Hourly,Data Analytics
168,Entry,Fixed-Price,Magento
169,Entry,Fixed-Price,Microsoft Excel
170,Intermediate,Fixed-Price,JSON
171,Intermediate,Fixed-Price,MySQL Administration
172,Intermediate,Fixed-Price,XML
173,Expert,Fixed-Price,API Development
174,Entry,Hourly,Data Entry
175,Entry,Hourly,Data Mining
176,Entry,Hourly,Data Scraping
177,Entry,Hourly,Internet Research
178,Entry,Hourly,Lead Generation
179,Entry,Hourly,LinkedIn Recruiting
180,Entry,Hourly,Recruiting
181,Expert,Hourly,Data Visualization
182,Expert,Hourly,Design Thinking
183,Expert,Hourly,Infographics
184,Expert,Hourly,Microsoft Excel
185,Intermediate,Hourly,Bioinformatics
186,Intermediate,Hourly,Biostatistics
187,Intermediate,Hourly,Literature Review
188,Intermediate,Fixed-Price,Microsoft Excel
189,Expert,Hourly,Statistics
190,Entry,Fixed-Price,Amazon Relational Database Service
191,Entry,Fixed-Price,Google Apps
192,Entry,Fixed-Price,Microsoft Excel
193,Entry,Fixed-Price,Web Scraping
194,Expert,Fixed-Price,Microsoft Access Administration
195,Expert,Fixed-Price,Microsoft Access Programming
196,Expert,Fixed-Price,Microsoft Excel
197,Expert,Fixed-Price,Cartography & Maps
198,Expert,Fixed-Price,Data Science
199,Expert,Fixed-Price,Microsoft Excel
200,Intermediate,Fixed-Price,Data Entry
201,Intermediate,Fixed-Price,ICD Coding
202,Intermediate,Fixed-Price,Medical Billing and Coding
203,Intermediate,Fixed-Price,Medical Transcription
204,Intermediate,Fixed-Price,Medical Writing
205,Intermediate,Hourly,Data Entry
206,Intermediate,Hourly,ICD Coding
207,Intermediate,Hourly,Medical Billing and Coding
208,Intermediate,Hourly,Medical Transcription
